id;name;email;gpin;role
1;calculate hacking Toys;Aniya_Doyle27@hotmail.com;calculate;overriding
2;Web;Nyasia.Murray87@hotmail.com;transmitter Home solution;supply-chains Colorado Sweden
3;Rapid Manager;Brannon83@yahoo.com;Sleek functionalities Music;web Meadow
4;Practical granular Berkshire;Jared.Gorczany@gmail.com;multi-tasking;Paradigm Central
5;Music Global Fresh;Ike.Purdy20@yahoo.com;Wisconsin Practical structure;Fresh
6;Cotton Steel Function-based;Benny_Auer98@yahoo.com;Account generate red;Toys
7;Web Down-sized;Tod_Marvin@yahoo.com;communities online bandwidth;Assistant
8;Turkmenistan Handcrafted morph;Jerad.Wisozk99@yahoo.com;Rubber Balboa;Wooden Human Fresh
9;bluetooth architecture Tuna;Julie.Spencer22@yahoo.com;cultivate reboot;Electronics Rubber Som
10;connecting silver;Quentin_Friesen70@gmail.com;connecting Shirt;Organized
